fuente_sitio,dataset,url_origen,grupo,tema,fecha_extraccion,pais,region,periodo,indicador,categoria_energia,tecnologia,actor,item,valor,unidad
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Timimoun - Solar,9.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Tindouf - Solar,9.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Télagh - Solar,12.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Zaouiet Kounta - Solar,6.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Oil,General Utility,Biopio - Oil,22.8,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Renovable,Hydro,General Utility,Biopio (hydro) - Hydro,14.6,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Renovable,Hydro,General Utility,Cambambe - Hydro,180.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Renovable,Hydro,General Utility,Capanda - Hydro,520.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Gas,General Utility,Cazenga - Gas,132.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Oil,General Utility,Huambo - Oil,16.26,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Gas,General Utility,Lobito - Gas,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Oil,General Utility,Luanda Diesel - Oil,58.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Oil,General Utility,Luanda Refinery - Oil,18.5,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Oil,General Utility,Malongo - Oil,10.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Renovable,Hydro,General Utility,Matala - Hydro,40.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Gas,General Utility,Namibe - Gas,11.68,MW
